url	chapt_title	img_path
https://datatrail-jhu.github.io/10_communication/no_toc/index.html	About this Course	resources/chapt_screen_images/index.png
https://datatrail-jhu.github.io/10_communication/no_toc/types-of-communication.html	1 Types of Communication	resources/chapt_screen_images/types-of-communication.png
https://datatrail-jhu.github.io/10_communication/no_toc/data-science-reports.html	2 Data Science Reports	resources/chapt_screen_images/data-science-reports.png
https://datatrail-jhu.github.io/10_communication/no_toc/how-to-give-a-presentation.html	3 How To Give a Presentation	resources/chapt_screen_images/how-to-give-a-presentation.png
https://datatrail-jhu.github.io/10_communication/no_toc/how-to-present-to-a-general-audience.html	4 How To Present to a General Audience	resources/chapt_screen_images/how-to-present-to-a-general-audience.png
https://datatrail-jhu.github.io/10_communication/no_toc/how-to-present-to-a-technical-audience.html	5 How To Present to a Technical Audience	resources/chapt_screen_images/how-to-present-to-a-technical-audience.png
https://datatrail-jhu.github.io/10_communication/no_toc/how-to-write-a-blog-post.html	6 How To Write a Blog Post	resources/chapt_screen_images/how-to-write-a-blog-post.png
https://datatrail-jhu.github.io/10_communication/no_toc/participating-in-meetings.html	7 Participating in Meetings	resources/chapt_screen_images/participating-in-meetings.png
https://datatrail-jhu.github.io/10_communication/no_toc/how-to-have-a-one-on-one-meeting.html	8 How To Have a One-on-One Meeting	resources/chapt_screen_images/how-to-have-a-one-on-one-meeting.png
https://datatrail-jhu.github.io/10_communication/no_toc/how-to-keep-a-data-science-lab-notebook.html	9 How To Keep a Data Science Lab Notebook	resources/chapt_screen_images/how-to-keep-a-data-science-lab-notebook.png
https://datatrail-jhu.github.io/10_communication/no_toc/which-graph-to-use-when.html	10 Which Graph to Use When	resources/chapt_screen_images/which-graph-to-use-when.png
https://datatrail-jhu.github.io/10_communication/no_toc/about-the-authors.html	About the Authors	resources/chapt_screen_images/about-the-authors.png
https://datatrail-jhu.github.io/10_communication/no_toc/references-2.html	11 References	resources/chapt_screen_images/references-2.png
